County,State,Mask Mandate,Case per 100k,Case Change,Death Change,Positivity Rate
Mecklenburg County  NC,North Carolina,Yes,137,-0.08,0.4,0.067,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
New Castle County  DE,Delaware,Yes,271,0.02,-0.76,0.053,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Unallocated  MA,Massachusetts,Yes,nan,-0.17,-1,0.012,Restaurants status: Dine-in allowed with restrictions
Unallocated  OK,Oklahoma,No,nan,-11.62,-1,0.031,Restaurants status: Dine-in allowed without restrictions
Ottawa County  MI,Michigan,Yes,494,0.21,1,0.194,Restaurants status: Dine-in allowed with restrictions
Hartford County  CT,Connecticut,Yes,158,-0.17,0.14,0.03,Restaurants status: Dine-in allowed with restrictions
Greenville County  SC,South Carolina,No,266,-0.04,-0.8,0.069,Restaurants status: Indoor dining allowed with restrictions
Denver County  CO,Colorado,Yes,191,0.13,0,0.037,Restaurants status: Dine-in allowed with restrictions
Delaware County  PA,Pennsylvania,Yes,245,0.05,0.33,0.087,Restaurants status: Dine-in allowed without restrictions
Sacramento County  CA,California,Yes,89,0.26,0.65,0.036,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Tarrant County  TX,Texas,No,64,0.05,-0.33,0.057,Restaurants status: Dine-in allowed without restrictions
Camden County  NJ,New Jersey,Yes,267,0.04,-0.45,0.077,Restaurants status: Dine-in allowed with restrictions
Berks County  PA,Pennsylvania,Yes,317,0.11,0.33,0.125,Restaurants status: Dine-in allowed without restrictions
Lee County  FL,Florida,No,169,-0.02,0.27,0.088,Restaurants status: Dine-in allowed with restrictions
Pierce County  WA,Washington,Yes,142,0.06,0,0.06,Restaurants status: Dine-in allowed with restrictions
Riverside County  CA,California,Yes,52,0.41,-0.08,0.021,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Lancaster County  PA,Pennsylvania,Yes,233,0.02,0.25,0.095,Restaurants status: Dine-in allowed without restrictions
Douglas County  NE,Nebraska,No,220,0.21,0,0.102,Restaurants status: Dine-in allowed without restrictions
Worcester County  MA,Massachusetts,Yes,151,-0.06,-0.36,0.022,Restaurants status: Dine-in allowed with restrictions
Washtenaw County  MI,Michigan,Yes,341,0.29,1,0.06,Restaurants status: Dine-in allowed with restrictions
Bristol County  MA,Massachusetts,Yes,219,-0.09,-0.52,0.042,Restaurants status: Dine-in allowed with restrictions
Dakota County  MN,Minnesota,Yes,287,0.25,3,0.09,Restaurants status: Dine-in allowed with restrictions
Will County  IL,Illinois,Yes,178,0.29,0,0.059,Restaurants status: Dine-in allowed with restrictions
Polk County  FL,Florida,No,168,0.09,-0.18,0.067,Restaurants status: Dine-in allowed with restrictions
Prince George's County  MD,Maryland,Yes,133,-0.06,-0.46,0.06,Restaurants status: Dine-in allowed with restrictions
Orange County  NY,New York,Yes,314,-0.27,-0.68,0.098,Restaurants status: Dine-in allowed with restrictions
Burlington County  NJ,New Jersey,Yes,265,-0.1,0,0.076,Restaurants status: Dine-in allowed with restrictions
Hampden County  MA,Massachusetts,Yes,250,-0.07,0.46,0.048,Restaurants status: Dine-in allowed with restrictions
Wake County  NC,North Carolina,Yes,104,-0.19,-0.67,0.057,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Anoka County  MN,Minnesota,Yes,324,0.45,1,0.097,Restaurants status: Dine-in allowed with restrictions
El Paso County  TX,Texas,No,137,0.04,0.67,0.105,Restaurants status: Dine-in allowed without restrictions
Kalamazoo County  MI,Michigan,Yes,434,0.51,2,0.146,Restaurants status: Dine-in allowed with restrictions
