County,State,Mask Mandate,Case per 100k,Case Change,Death Change,Positivity Rate
Union County  PA,Pennsylvania,Yes,229,4.42,0,0.016,Restaurants status: Dine-in allowed without restrictions
Madison County  IN,Indiana,No,79,0.18,0,0.075,Restaurants status: Dine-in allowed with restrictions
Montgomery County  NY,New York,Yes,209,-0.31,1,0.05,Restaurants status: Dine-in allowed with restrictions
Santa Rosa County  FL,Florida,No,55,0.13,-0.5,0.056,Restaurants status: Dine-in allowed with restrictions
Harrison County  WV,West Virginia,Yes,152,0.23,2,0.079,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Walker County  GA,Georgia,No,146,0.03,0,0.039,Restaurants status: Dine-in allowed with restrictions
Monterey County  CA,California,Yes,23,-0.13,-0.33,0.015,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Dickson County  TN,Tennessee,No,189,0.73,-1,0.094,Restaurants status: Dine-in allowed with restrictions
McLeod County  MN,Minnesota,Yes,281,0.46,-1,0.094,Restaurants status: Dine-in allowed with restrictions
Lee County  IL,Illinois,Yes,296,0.07,-0.67,0.018,Restaurants status: Dine-in allowed with restrictions
Roanoke city  VA,Virginia,Yes,102,0.05,1.5,0.029,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Branch County  MI,Michigan,Yes,232,0.35,0,0.035,Restaurants status: Dine-in allowed with restrictions
Wilson County  NC,North Carolina,Yes,123,-0.3,4,0.067,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Madison County  TN,Tennessee,No,103,-0.22,1,0.085,Restaurants status: Dine-in allowed with restrictions
Fayette County  WV,West Virginia,Yes,238,-0.09,3,0.089,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Lancaster County  SC,South Carolina,No,103,-0.2,0,0.073,Restaurants status: Indoor dining allowed with restrictions
Edgecombe County  NC,North Carolina,Yes,194,-0.15,2,0.118,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Jefferson County  NY,New York,Yes,91,0.28,-1,0.028,Restaurants status: Dine-in allowed with restrictions
Houston County  GA,Georgia,No,63,0.09,-1,0.056,Restaurants status: Dine-in allowed with restrictions
Smith County  TX,Texas,No,43,-0.36,-0.57,0.039,Restaurants status: Dine-in allowed without restrictions
Hancock County  IN,Indiana,No,127,0.38,0,0.046,Restaurants status: Dine-in allowed with restrictions
Chenango County  NY,New York,Yes,210,-0.27,-1,0.05,Restaurants status: Dine-in allowed with restrictions
Chemung County  NY,New York,Yes,119,-0.37,-1,0.046,Restaurants status: Dine-in allowed with restrictions
Jefferson County  OH,Ohio,Yes,152,-0.1,-1,0.125,Restaurants status: Dine-in allowed with restrictions
Black Hawk County  IA,Iowa,No,75,-0.06,4,0.048,Restaurants status: Dine-in allowed with restrictions
Midland County  TX,Texas,No,55,0.08,-1,0.063,Restaurants status: Dine-in allowed without restrictions
Comal County  TX,Texas,No,62,0.18,0.33,0.049,Restaurants status: Dine-in allowed without restrictions
Josephine County  OR,Oregon,Yes,111,-0.07,-1,0.048,Restaurants status: Dine-in allowed with restrictions
Dimmit County  TX,Texas,No,958,0.18,-0.5,0.219,Restaurants status: Dine-in allowed without restrictions
Lynchburg city  VA,Virginia,Yes,118,-0.26,-1,0.093,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Greene County  TN,Tennessee,No,140,0.2,-1,0.067,Restaurants status: Dine-in allowed with restrictions
Delaware County  NY,New York,Yes,218,-0.19,-1,0.08,Restaurants status: Dine-in allowed with restrictions
Hawkins County  TN,Tennessee,No,167,0.2,-0.5,0.092,Restaurants status: Dine-in allowed with restrictions
Newton County  GA,Georgia,No,85,0.02,-0.62,0.07,Restaurants status: Dine-in allowed with restrictions
Garfield County  CO,Colorado,Yes,158,-0.05,-1,0.053,Restaurants status: Dine-in allowed with restrictions
Stephenson County  IL,Illinois,Yes,213,0.46,-1,0.067,Restaurants status: Dine-in allowed with restrictions
Cayuga County  NY,New York,Yes,124,0.44,-1,0.026,Restaurants status: Dine-in allowed with restrictions
Boone County  MO,Missouri,No,53,0.94,-1,0.046,Restaurants status: Indoor dining allowed with restrictions
Story County  IA,Iowa,No,97,-0.42,-1,0.074,Restaurants status: Dine-in allowed with restrictions
Carteret County  NC,North Carolina,Yes,135,-0.1,-1,0.076,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Rapides Parish  LA,Louisiana,Yes,73,1.14,0,0.015,Restaurants status: Dine-in allowed with restrictions
Columbia County  PA,Pennsylvania,Yes,145,0.03,-0.67,0.111,Restaurants status: Dine-in allowed without restrictions
Antrim County  MI,Michigan,Yes,403,0.06,-1,0.136,Restaurants status: Dine-in allowed with restrictions
Tioga County  NY,New York,Yes,195,0.04,0,0.064,Restaurants status: Dine-in allowed with restrictions
Somerset County  PA,Pennsylvania,Yes,127,0.26,-0.75,0.047,Restaurants status: Dine-in allowed without restrictions
Cache County  UT,Utah,Yes,72,-0.28,-1,0.033,"Restaurants status: Dine-in allowed without restrictions, but note that some cities may enact their own restrictions."
Guaynabo Municipio  PR,Puerto Rico,Yes,110,0.7,nan,0.367,
Clinton County  PA,Pennsylvania,Yes,238,-0.02,1,0.13,Restaurants status: Dine-in allowed without restrictions
Cass County  MO,Missouri,No,87,0.61,-1,0.057,Restaurants status: Indoor dining allowed with restrictions
St. Mary's County  MD,Maryland,Yes,81,0.31,0,0.047,Restaurants status: Dine-in allowed with restrictions
Carroll County  VA,Virginia,Yes,309,0.39,-1,0.391,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Roanoke County  VA,Virginia,Yes,98,-0.06,-1,0.053,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Yolo County  CA,California,Yes,41,0.01,-0.5,0.006,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Chisago County  MN,Minnesota,Yes,161,0.05,-1,0.085,Restaurants status: Dine-in allowed with restrictions
Catoosa County  GA,Georgia,No,135,-0.02,-1,0.104,Restaurants status: Dine-in allowed with restrictions
Sampson County  NC,North Carolina,Yes,143,-0.1,1.5,0.061,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Bibb County  GA,Georgia,No,59,0.4,0.33,0.035,Restaurants status: Dine-in allowed with restrictions
Yellowstone County  MT,Montana,No,56,0.07,-0.67,0.022,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Somerset County  ME,Maine,Yes,180,0.25,-1,0.071,Restaurants status: Indoor dining allowed with restrictions
Unallocated  PR,Puerto Rico,Yes,nan,0.23,0.67,0.25,
Alpena County  MI,Michigan,Yes,320,0.57,0,0.133,Restaurants status: Dine-in allowed with restrictions
Monongalia County  WV,West Virginia,Yes,85,-0.46,-0.5,0.043,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Brown County  MN,Minnesota,Yes,360,-0.06,-1,0.075,Restaurants status: Dine-in allowed with restrictions
Ashtabula County  OH,Ohio,Yes,92,0.07,-1,0.079,Restaurants status: Dine-in allowed with restrictions
Floyd County  GA,Georgia,No,90,0.05,-0.5,0.048,Restaurants status: Dine-in allowed with restrictions
Dukes County  MA,Massachusetts,Yes,514,0.25,nan,0.086,Restaurants status: Dine-in allowed with restrictions
Clarke County  GA,Georgia,No,69,0.25,0,0.04,Restaurants status: Dine-in allowed with restrictions
Livingston Parish  LA,Louisiana,Yes,63,0.06,-0.5,0.053,Restaurants status: Dine-in allowed with restrictions
Boone County  KY,Kentucky,Yes,67,-0.25,0,0.054,Restaurants status: Dine-in allowed without restrictions
Nicollet County  MN,Minnesota,Yes,260,0.11,-1,0.095,Restaurants status: Dine-in allowed with restrictions
Elk County  PA,Pennsylvania,Yes,294,0.1,-1,0.151,Restaurants status: Dine-in allowed without restrictions
Susquehanna County  PA,Pennsylvania,Yes,218,-0.27,2,0.137,Restaurants status: Dine-in allowed without restrictions
Carter County  TN,Tennessee,No,156,0,-1,0.159,Restaurants status: Dine-in allowed with restrictions
Delta County  MI,Michigan,Yes,246,0.13,0,0.104,Restaurants status: Dine-in allowed with restrictions
Kosciusko County  IN,Indiana,No,109,-0.18,-1,0.098,Restaurants status: Dine-in allowed with restrictions
Itasca County  MN,Minnesota,Yes,193,-0.13,-1,0.081,Restaurants status: Dine-in allowed with restrictions
Belmont County  OH,Ohio,Yes,130,-0.47,-1,0.112,Restaurants status: Dine-in allowed with restrictions
Cheshire County  NH,New Hampshire,Yes,114,0.21,-0.5,0.012,Restaurants status: Dine-in allowed without restrictions
Becker County  MN,Minnesota,Yes,253,0.47,-1,0.081,Restaurants status: Dine-in allowed with restrictions
Ector County  TX,Texas,No,52,0.43,0.4,0.1,Restaurants status: Dine-in allowed without restrictions
Trujillo Alto Municipio  PR,Puerto Rico,Yes,137,0.28,nan,0.327,
Toa Baja Municipio  PR,Puerto Rico,Yes,117,0.3,nan,0.331,
Chippewa County  MI,Michigan,Yes,230,-0.35,-1,0.009,Restaurants status: Dine-in allowed with restrictions
Polk County  OR,Oregon,Yes,100,0.43,-1,0.055,Restaurants status: Dine-in allowed with restrictions
Dunn County  WI,Wisconsin,No,190,0.16,-1,0.087,Restaurants status: Dine-in allowed with restrictions
Caledonia County  VT,Vermont,Yes,287,-0.3,-1,0.049,Restaurants status: Dine-in allowed without restrictions
Vega Baja Municipio  PR,Puerto Rico,Yes,170,1.24,nan,0.296,
Juncos Municipio  PR,Puerto Rico,Yes,223,-0.13,nan,0.29,
St. Tammany Parish  LA,Louisiana,Yes,33,-0.33,-0.5,0.023,Restaurants status: Dine-in allowed with restrictions
Butte County  CA,California,Yes,38,0.22,-1,0.029,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Sumter County  SC,South Carolina,No,79,0.56,-0.75,0.035,Restaurants status: Indoor dining allowed with restrictions
Walton County  FL,Florida,No,113,0.65,-0.5,0.098,Restaurants status: Dine-in allowed with restrictions
Bastrop County  TX,Texas,No,95,-0.32,-1,0.082,Restaurants status: Dine-in allowed without restrictions
Kenton County  KY,Kentucky,Yes,50,-0.3,-0.67,0.041,Restaurants status: Dine-in allowed without restrictions
Walton County  GA,Georgia,No,88,-0.14,0,0.044,Restaurants status: Dine-in allowed with restrictions
Franklin County  MO,Missouri,No,80,-0.19,-1,0.054,Restaurants status: Indoor dining allowed with restrictions
Kandiyohi County  MN,Minnesota,Yes,192,0.06,-1,0.068,Restaurants status: Dine-in allowed with restrictions
Muskingum County  OH,Ohio,Yes,96,-0.17,-1,0.077,Restaurants status: Dine-in allowed with restrictions
San Patricio County  TX,Texas,No,124,0,-1,0.086,Restaurants status: Dine-in allowed without restrictions
Marin County  CA,California,Yes,32,-0.12,1,0.008,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Henderson County  NC,North Carolina,Yes,71,0,-1,0.045,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Columbiana County  OH,Ohio,Yes,80,0.44,-1,0.054,Restaurants status: Dine-in allowed with restrictions
Robertson County  TN,Tennessee,No,114,-0.21,-1,0.103,Restaurants status: Dine-in allowed with restrictions
Greene County  PA,Pennsylvania,Yes,226,0.02,-1,0.082,Restaurants status: Dine-in allowed without restrictions
Sandusky County  OH,Ohio,Yes,140,0.21,-1,0.222,Restaurants status: Dine-in allowed with restrictions
Lincoln County  MO,Missouri,No,139,0.02,-1,0.088,Restaurants status: Indoor dining allowed with restrictions
Bedford County  TN,Tennessee,No,165,-0.21,0,0.103,Restaurants status: Dine-in allowed with restrictions
Cabell County  WV,West Virginia,Yes,89,-0.46,0.5,0.031,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Boone County  IL,Illinois,Yes,151,0.19,-1,0.07,Restaurants status: Dine-in allowed with restrictions
Robeson County  NC,North Carolina,Yes,62,-0.08,-1,0.029,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Warren County  NY,New York,Yes,127,-0.19,-1,0.027,Restaurants status: Dine-in allowed with restrictions
Franklin County  WA,Washington,Yes,85,-0.21,-1,0.1,Restaurants status: Dine-in allowed with restrictions
Rockdale County  GA,Georgia,No,89,-0.09,-0.33,0.046,Restaurants status: Dine-in allowed with restrictions
Chambers County  TX,Texas,No,185,0.09,-1,0.093,Restaurants status: Dine-in allowed without restrictions
Brookings County  SD,South Dakota,No,228,-0.2,-1,0.087,Restaurants status: Dine-in allowed with restrictions
Christian County  KY,Kentucky,Yes,114,-0.07,0,0.041,Restaurants status: Dine-in allowed without restrictions
Miami County  OH,Ohio,Yes,75,-0.05,-1,0.085,Restaurants status: Dine-in allowed with restrictions
Lubbock County  TX,Texas,No,26,-0.34,-0.75,0.023,Restaurants status: Dine-in allowed without restrictions
Dallas County  IA,Iowa,No,86,-0.41,0,0.056,Restaurants status: Dine-in allowed with restrictions
Wayne County  NC,North Carolina,Yes,65,-0.07,-1,0.031,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Orange County  NC,North Carolina,Yes,54,-0.24,-1,0.008,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Grundy County  IL,Illinois,Yes,157,0.63,0,0.066,Restaurants status: Dine-in allowed with restrictions
Halifax County  NC,North Carolina,Yes,160,-0.02,-0.5,0.102,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Wicomico County  MD,Maryland,Yes,77,0.05,2,0.071,Restaurants status: Dine-in allowed with restrictions
Nevada County  CA,California,Yes,79,-0.13,-1,0.051,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Henry County  IL,Illinois,Yes,162,0.41,-1,0.052,Restaurants status: Dine-in allowed with restrictions
Charlevoix County  MI,Michigan,Yes,302,0.61,-1,0.115,Restaurants status: Dine-in allowed with restrictions
Cleveland County  NC,North Carolina,Yes,81,-0.29,-0.67,0.031,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Canadian County  OK,Oklahoma,No,53,-0.19,13.25,0.05,Restaurants status: Dine-in allowed without restrictions
Ozaukee County  WI,Wisconsin,No,89,0.41,-0.5,0.05,Restaurants status: Dine-in allowed with restrictions
Cascade County  MT,Montana,No,97,0.88,-1,0.022,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Whitley County  KY,Kentucky,Yes,218,0.01,-1,0.06,Restaurants status: Dine-in allowed without restrictions
Ohio County  WV,West Virginia,Yes,188,0.01,-0.33,0.096,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Cass County  NE,Nebraska,No,297,0.47,-1,0.141,Restaurants status: Dine-in allowed without restrictions
Mesa County  CO,Colorado,Yes,51,0.03,-1,0.011,Restaurants status: Dine-in allowed with restrictions
Ponce Municipio  PR,Puerto Rico,Yes,59,0.47,nan,0.339,
Johnson County  TX,Texas,No,44,-0.48,0,0.045,Restaurants status: Dine-in allowed without restrictions
Roscommon County  MI,Michigan,Yes,321,-0.17,-0.5,0.156,Restaurants status: Dine-in allowed with restrictions
Geauga County  OH,Ohio,Yes,82,-0.08,-1,0.179,Restaurants status: Dine-in allowed with restrictions
Steele County  MN,Minnesota,Yes,210,-0.04,1,0.07,Restaurants status: Dine-in allowed with restrictions
Boone County  IN,Indiana,No,113,0.35,-1,0.04,Restaurants status: Dine-in allowed with restrictions
Washington County  NY,New York,Yes,126,-0.29,-1,0.028,Restaurants status: Dine-in allowed with restrictions
Daviess County  KY,Kentucky,Yes,76,-0.29,0,0.035,Restaurants status: Dine-in allowed without restrictions
Harrison County  MS,Mississippi,No,37,-0.22,2,0.045,Restaurants status: Dine-in allowed with restrictions
Goodhue County  MN,Minnesota,Yes,164,-0.05,-1,0.065,Restaurants status: Dine-in allowed with restrictions
Ottawa County  OH,Ohio,Yes,188,0.23,-1,0.198,Restaurants status: Dine-in allowed with restrictions
Laurel County  KY,Kentucky,Yes,125,-0.4,0.14,0.07,Restaurants status: Dine-in allowed without restrictions
Cumberland County  TN,Tennessee,No,126,0.01,-1,0.149,Restaurants status: Dine-in allowed with restrictions
Lincoln County  NC,North Carolina,Yes,88,-0.4,-1,0.062,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Cochise County  AZ,Arizona,No,60,0.62,-0.67,0.05,Restaurants status: Dine-in allowed with restrictions
Culpeper County  VA,Virginia,Yes,144,0.38,-1,0.082,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Lauderdale County  MS,Mississippi,No,103,0.12,-0.67,0.026,Restaurants status: Dine-in allowed with restrictions
Twin Falls County  ID,Idaho,No,86,2.12,-1,0.062,Restaurants status: Dine-in allowed with restrictions
Kenai Peninsula Borough  AK,Alaska,No,128,0.79,-1,0.044,Restaurants status: Dine-in allowed without restrictions
Pennington County  SD,South Dakota,No,66,0.7,-1,0.065,Restaurants status: Dine-in allowed with restrictions
Coweta County  GA,Georgia,No,51,-0.05,3,0.03,Restaurants status: Dine-in allowed with restrictions
York County  VA,Virginia,Yes,110,-0.18,-1,0.098,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Douglas County  WI,Wisconsin,No,174,0.06,1,0.081,Restaurants status: Dine-in allowed with restrictions
Madera County  CA,California,Yes,48,-0.23,-0.33,0.026,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Hawaii County  HI,Hawaii,Yes,37,-0.09,-1,0.016,Restaurants status: Dine-in allowed without restrictions
Beltrami County  MN,Minnesota,Yes,159,0.09,1,0.045,Restaurants status: Dine-in allowed with restrictions
Platte County  NE,Nebraska,No,221,0.72,-1,0.081,Restaurants status: Dine-in allowed without restrictions
Randall County  TX,Texas,No,54,0,0,0.019,Restaurants status: Dine-in allowed without restrictions
La Crosse County  WI,Wisconsin,No,63,0.85,-1,0.024,Restaurants status: Dine-in allowed with restrictions
Wyoming County  NY,New York,Yes,186,0.37,-1,0.07,Restaurants status: Dine-in allowed with restrictions
Columbia County  OR,Oregon,Yes,139,0.18,-1,0.101,Restaurants status: Dine-in allowed with restrictions
Howard County  IN,Indiana,No,88,-0.35,1,0.057,Restaurants status: Dine-in allowed with restrictions
Madison County  NY,New York,Yes,101,-0.17,-1,0.02,Restaurants status: Dine-in allowed with restrictions
Dickinson County  IA,Iowa,No,417,-0.03,-1,0.179,Restaurants status: Dine-in allowed with restrictions
Andrews County  TX,Texas,No,385,0,-1,0.042,Restaurants status: Dine-in allowed without restrictions
Burke County  NC,North Carolina,Yes,80,0.2,0,0.026,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Naranjito Municipio  PR,Puerto Rico,Yes,263,1.48,nan,0.294,
Bingham County  ID,Idaho,No,152,0.27,-1,0.034,Restaurants status: Dine-in allowed with restrictions
Harrisonburg city  VA,Virginia,Yes,134,-0.16,-1,0.067,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Athens County  OH,Ohio,Yes,109,0.16,-1,0.168,Restaurants status: Dine-in allowed with restrictions
Washington County  VA,Virginia,Yes,132,0.31,-1,0.166,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Petersburg city  VA,Virginia,Yes,227,0.09,-0.33,0.066,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Lowndes County  GA,Georgia,No,60,-0.34,-0.88,0.055,Restaurants status: Dine-in allowed with restrictions
Tioga County  PA,Pennsylvania,Yes,175,-0.04,0,0.099,Restaurants status: Dine-in allowed without restrictions
Orangeburg County  SC,South Carolina,No,82,-0.18,1,0.027,Restaurants status: Indoor dining allowed with restrictions
Missaukee County  MI,Michigan,Yes,470,-0.3,-1,0.266,Restaurants status: Dine-in allowed with restrictions
Ascension Parish  LA,Louisiana,Yes,56,-0.41,1,0.048,Restaurants status: Dine-in allowed with restrictions
Yavapai County  AZ,Arizona,No,30,1.29,-0.67,0.038,Restaurants status: Dine-in allowed with restrictions
Bannock County  ID,Idaho,No,80,-0.44,1,0.04,Restaurants status: Dine-in allowed with restrictions
Marshall County  AL,Alabama,No,72,0.89,0,0.058,Restaurants status: Dine-in allowed with restrictions
Charlottesville city  VA,Virginia,Yes,148,0.56,-1,0.01,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Cherokee County  SC,South Carolina,No,122,-0.04,-0.5,0.082,Restaurants status: Indoor dining allowed with restrictions
Pickaway County  OH,Ohio,Yes,120,0.19,-1,0.028,Restaurants status: Dine-in allowed with restrictions
Hardin County  KY,Kentucky,Yes,63,0.27,-0.56,0.036,Restaurants status: Dine-in allowed without restrictions
Crawford County  MI,Michigan,Yes,492,0.05,0,0.238,Restaurants status: Dine-in allowed with restrictions
Franklin County  MA,Massachusetts,Yes,98,-0.13,0.5,0.013,Restaurants status: Dine-in allowed with restrictions
Sauk County  WI,Wisconsin,No,107,0.08,-1,0.062,Restaurants status: Dine-in allowed with restrictions
Rockwall County  TX,Texas,No,66,-0.42,0,0.046,Restaurants status: Dine-in allowed without restrictions
Kershaw County  SC,South Carolina,No,104,-0.12,-1,0.035,Restaurants status: Indoor dining allowed with restrictions
Carter County  OK,Oklahoma,No,143,0.3,-1,0.043,Restaurants status: Dine-in allowed without restrictions
Douglas County  OR,Oregon,Yes,61,-0.2,1.5,0.043,Restaurants status: Dine-in allowed with restrictions
Logan County  IL,Illinois,Yes,238,0.42,-1,0.026,Restaurants status: Dine-in allowed with restrictions
Chelan County  WA,Washington,Yes,88,-0.24,-1,0.015,Restaurants status: Dine-in allowed with restrictions
Shenandoah County  VA,Virginia,Yes,156,1.34,-1,0.062,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Jackson County  MN,Minnesota,Yes,691,0.06,-1,0.138,Restaurants status: Dine-in allowed with restrictions
Clinton County  IA,Iowa,No,146,-0.06,-1,0.09,Restaurants status: Dine-in allowed with restrictions
Seneca County  OH,Ohio,Yes,123,0.17,-1,0.03,Restaurants status: Dine-in allowed with restrictions
Lyon County  MN,Minnesota,Yes,263,0,-1,0.068,Restaurants status: Dine-in allowed with restrictions
Las Piedras Municipio  PR,Puerto Rico,Yes,181,0.24,nan,0.343,
Potter County  TX,Texas,No,57,-0.09,-0.33,0.019,Restaurants status: Dine-in allowed without restrictions
Buffalo County  NE,Nebraska,No,135,0.86,-1,0.135,Restaurants status: Dine-in allowed without restrictions
Río Grande Municipio  PR,Puerto Rico,Yes,140,0.18,nan,0.21,
Warren County  VA,Virginia,Yes,167,-0.19,-1,0.08,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Knox County  OH,Ohio,Yes,108,0,-1,0.018,Restaurants status: Dine-in allowed with restrictions
McCracken County  KY,Kentucky,Yes,102,-0.09,-0.75,0.03,Restaurants status: Dine-in allowed without restrictions
Ogemaw County  MI,Michigan,Yes,319,0.72,-1,0.159,Restaurants status: Dine-in allowed with restrictions
Sagadahoc County  ME,Maine,Yes,187,0.91,-1,0.065,Restaurants status: Indoor dining allowed with restrictions
Bedford County  PA,Pennsylvania,Yes,138,1.44,-1,0.064,Restaurants status: Dine-in allowed without restrictions
Columbia County  FL,Florida,No,92,0.1,-1,0.06,Restaurants status: Dine-in allowed with restrictions
Marion County  WV,West Virginia,Yes,118,-0.04,-1,0.052,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Valencia County  NM,New Mexico,Yes,86,0.18,2,0.025,Restaurants status: Dine-in allowed with restrictions
Caroline County  VA,Virginia,Yes,215,-0.04,0,0.093,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Delaware County  IN,Indiana,No,58,-0.2,-1,0.049,Restaurants status: Dine-in allowed with restrictions
Humacao Municipio  PR,Puerto Rico,Yes,130,0.2,nan,0.299,
Deaf Smith County  TX,Texas,No,350,0,-1,0.135,Restaurants status: Dine-in allowed without restrictions
Baldwin County  AL,Alabama,No,29,-0.39,-1,0.044,Restaurants status: Dine-in allowed with restrictions
Pender County  NC,North Carolina,Yes,103,0.1,-1,0.092,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Kalkaska County  MI,Michigan,Yes,360,0.07,-1,0.277,Restaurants status: Dine-in allowed with restrictions
Lewis County  WA,Washington,Yes,81,-0.1,0,0.036,Restaurants status: Dine-in allowed with restrictions
Stanly County  NC,North Carolina,Yes,103,-0.42,-1,0.052,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Florence County  SC,South Carolina,No,47,0.05,0,0.031,Restaurants status: Indoor dining allowed with restrictions
Tehama County  CA,California,Yes,98,0.52,-1,0.053,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Yamhill County  OR,Oregon,Yes,60,0.23,-1,0.043,Restaurants status: Dine-in allowed with restrictions
Davie County  NC,North Carolina,Yes,149,0.12,-1,0.087,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Scott County  KY,Kentucky,Yes,112,-0.55,-1,0.006,Restaurants status: Dine-in allowed without restrictions
Teller County  CO,Colorado,Yes,252,0.52,-1,0.084,Restaurants status: Dine-in allowed with restrictions
Murray County  GA,Georgia,No,160,0.03,1,0.11,Restaurants status: Dine-in allowed with restrictions
Rankin County  MS,Mississippi,No,41,0.08,-0.67,0.037,Restaurants status: Dine-in allowed with restrictions
Anderson County  TN,Tennessee,No,83,-0.15,-1,0.092,Restaurants status: Dine-in allowed with restrictions
James City County  VA,Virginia,Yes,84,-0.46,-1,0.047,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Alcona County  MI,Michigan,Yes,605,1.03,-1,0.271,Restaurants status: Dine-in allowed with restrictions
Williamson County  IL,Illinois,Yes,95,0.34,-1,0.022,Restaurants status: Dine-in allowed with restrictions
Simpson County  KY,Kentucky,Yes,339,0.8,0,0.057,Restaurants status: Dine-in allowed without restrictions
Unallocated  NH,New Hampshire,Yes,nan,-4.5,-1,0.045,Restaurants status: Dine-in allowed without restrictions
Polk County  WI,Wisconsin,No,144,2.32,-1,0.079,Restaurants status: Dine-in allowed with restrictions
Putnam County  TN,Tennessee,No,79,-0.18,-1,0.127,Restaurants status: Dine-in allowed with restrictions
Freeborn County  MN,Minnesota,Yes,208,-0.06,0,0.062,Restaurants status: Dine-in allowed with restrictions
Leelanau County  MI,Michigan,Yes,290,2.15,-1,0.107,Restaurants status: Dine-in allowed with restrictions
Mower County  MN,Minnesota,Yes,157,0.05,-1,0.079,Restaurants status: Dine-in allowed with restrictions
Cass County  MN,Minnesota,Yes,208,0.68,-1,0.146,Restaurants status: Dine-in allowed with restrictions
Huntingdon County  PA,Pennsylvania,Yes,137,-0.1,-1,0.042,Restaurants status: Dine-in allowed without restrictions
Flathead County  MT,Montana,No,60,0.22,-1,0.029,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Vigo County  IN,Indiana,No,58,-0.33,1,0.028,Restaurants status: Dine-in allowed with restrictions
Livingston County  NY,New York,Yes,99,0.07,-1,0.056,Restaurants status: Dine-in allowed with restrictions
Barrow County  GA,Georgia,No,73,-0.29,-0.5,0.084,Restaurants status: Dine-in allowed with restrictions
Columbia County  WI,Wisconsin,No,106,1.1,-1,0.037,Restaurants status: Dine-in allowed with restrictions
Walker County  TX,Texas,No,84,-0.43,-1,0.051,Restaurants status: Dine-in allowed without restrictions
Caldwell County  NC,North Carolina,Yes,74,0.11,0,0.025,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Noble County  IN,Indiana,No,128,0.69,2,0.111,Restaurants status: Dine-in allowed with restrictions
Floyd County  KY,Kentucky,Yes,171,0.36,1,0.081,Restaurants status: Dine-in allowed without restrictions
Pottawatomie County  OK,Oklahoma,No,84,0.05,17.5,0.027,Restaurants status: Dine-in allowed without restrictions
Presque Isle County  MI,Michigan,Yes,476,0.36,-1,0.153,Restaurants status: Dine-in allowed with restrictions
Lafayette County  MS,Mississippi,No,111,0.15,-1,0.018,Restaurants status: Dine-in allowed with restrictions
Jasper County  IN,Indiana,No,179,-0.02,-1,0.075,Restaurants status: Dine-in allowed with restrictions
